# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"Comment","anchor_id":"FILE1_Z2_XY0","type":1,"desc":"Free Comment","options":{"default":"Default"},"default_option_id":""},"3":{"aname":"Scene","anchor_id":"FILE1_Z2_XY0","type":1,"desc":"Video part","options":{},"default_option_id":""},"4":{"aname":"Type","anchor_id":"FILE1_Z1_XY1","type":3,"desc":"Type of AOI","options":{"0":"Title","1":"Chart","2":"Formula","3":"Chemistry","4":"Picture","5":"Text","6":"Data"},"default_option_id":"0"},"5":{"aname":"Importance","anchor_id":"FILE1_Z1_XY1","type":3,"desc":"Importance","options":{"0":"High","1":"Med","2":"Low"},"default_option_id":"1"},"6":{"aname":"AOI_Name","anchor_id":"FILE1_Z1_XY1","type":1,"desc":"AOI_Name","options":{},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_qZlYWaXc","[""chimie-verte_version-française_default.mp4""]",0,"[159.89641]","[2,186.611,159.566,592.287,277.663]","{""1"":""AOI"",""3"":""twelve_principles"",""4"":""2"",""5"":""0"",""6"":""E_factor""}"
"1_j5sJvB9h","[""chimie-verte_version-française_default.mp4""]",0,"[1.124,5.31493]","[]","{""1"":""_DEFAULT"",""3"":""main title""}"
"1_zYQJk2sM","[""chimie-verte_version-française_default.mp4""]",0,"[2.41892]","[2,162.262,176.21971,639.45,192.49481]","{""1"":""AOI"",""3"":""introduction"",""4"":""0"",""5"":""2"",""6"":""maintitle""}"
"1_FLTXaXMO","[""chimie-verte_version-française_default.mp4""]",0,"[6.54,10.5441]","[]","{""1"":""_DEFAULT"",""3"":""intro_molecule""}"
"1_qV04ejfu","[""chimie-verte_version-française_default.mp4""]",0,"[8.52309]","[2,65.428,146.559,827.884,261.712]","{""1"":""AOI"",""3"":""introduction"",""4"":""3"",""5"":""2"",""6"":""intro_molecules""}"
"1_OLDxn1XA","[""chimie-verte_version-française_default.mp4""]",0,"[11.438,15.08576]","[]","{""1"":""_DEFAULT"",""3"":""tabperiodique1""}"
"1_edbLBIq9","[""chimie-verte_version-française_default.mp4""]",0,"[11.91892]","[2,69.79,10.468,127.367,519.064]","{""1"":""AOI"",""3"":""introduction"",""4"":""3"",""5"":""2"",""6"":""sample_molecules""}"
"1_XKy01D4X","[""chimie-verte_version-française_default.mp4""]",0,"[14.87726]","[2,342.843,47.10824,551.341,59.32149]","{""1"":""AOI"",""3"":""introduction"",""4"":""0"",""5"":""1"",""6"":""periodictab_title""}"
"1_kxCxWZkL","[""chimie-verte_version-française_default.mp4""]",0,"[14.87726]","[2,249.499,112.536,698.772,368.143]","{""1"":""AOI"",""3"":""introduction"",""4"":""4"",""5"":""2"",""6"":""periodictab""}"
"1_BymFjL9q","[""chimie-verte_version-française_default.mp4""]",0,"[15.77309]","[2,47.981,6.979,187.56,516.446]","{""1"":""AOI"",""3"":""introduction"",""4"":""4"",""5"":""2"",""6"":""sample_objects""}"
"1_RvRLzK4I","[""chimie-verte_version-française_default.mp4""]",0,"[21.14826,29.87743]","[]","{""1"":""_DEFAULT"",""3"":""esperance_vie""}"
"1_j0tpAdCs","[""chimie-verte_version-française_default.mp4""]",0,"[22.87726]","[2,143.069,42.746,689.177,61.939]","{""1"":""AOI"",""3"":""introduction"",""4"":""0"",""5"":""2"",""6"":""lifeexpectancy""}"
"1_AZXNyNHp","[""chimie-verte_version-française_default.mp4""]",0,"[24.27309]","[2,198.04609,101.195,622.00305,405.655]","{""1"":""AOI"",""3"":""introduction"",""4"":""1"",""5"":""2"",""6"":""lifeexpectancy_chart""}"
"1_jXbnl7F5","[""chimie-verte_version-française_default.mp4""]",0,"[30.749,51.12743]","[]","{""1"":""_DEFAULT"",""3"":""trois_terres""}"
"1_Xhj17AKd","[""chimie-verte_version-française_default.mp4""]",0,"[42.14809]","[2,266.074,296.607,278.288,133.474]","{""1"":""AOI"",""3"":""introduction"",""4"":""5"",""5"":""2"",""6"":""Houston""}"
"1_cXa7Y3sa","[""chimie-verte_version-française_default.mp4""]",0,"[44.64809]","[2,383.845,236.414,355.929,179.709]","{""1"":""AOI"",""3"":""introduction"",""4"":""5"",""5"":""2"",""6"":""Hunan""}"
"1_LRXDuSLL","[""chimie-verte_version-française_default.mp4""]",0,"[49.08559]","[2,485.05714,277.415,298.352,129.984]","{""1"":""AOI"",""3"":""introduction"",""4"":""5"",""5"":""2"",""6"":""Bhopal""}"
