Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS,seg,start_end,pos
80.0,07/02/2024 14:02,0.0,0.0,7.3386,440316000,P24_07,161824191.0,601000000.0,play,,01:02:41.824191,01:10:01,1,start,212824191.0
80.0,07/02/2024 14:02,0.0,0.0,7.3386,440316000,P24_07,161824191.0,601000000.0,play,,01:02:41.824191,01:10:01,1,end,221824191.0
80.0,07/02/2024 14:02,0.0,0.0,7.3386,440316000,P24_07,161824191.0,601000000.0,play,,01:02:41.824191,01:10:01,2,start,225824191.0
80.0,07/02/2024 14:02,0.0,0.0,7.3386,440316000,P24_07,161824191.0,601000000.0,play,,01:02:41.824191,01:10:01,2,end,228824191.0
80.0,07/02/2024 14:02,0.0,0.0,7.3386,440316000,P24_07,161824191.0,601000000.0,play,,01:02:41.824191,01:10:01,3,start,254824191.0
80.0,07/02/2024 14:02,0.0,0.0,7.3386,440316000,P24_07,161824191.0,601000000.0,play,,01:02:41.824191,01:10:01,3,end,262824191.0
80.0,07/02/2024 14:02,0.0,0.0,7.3386,440316000,P24_07,161824191.0,601000000.0,play,,01:02:41.824191,01:10:01,4,start,290824191.0
80.0,07/02/2024 14:02,0.0,0.0,7.3386,440316000,P24_07,161824191.0,601000000.0,play,,01:02:41.824191,01:10:01,4,end,296824191.0
80.0,07/02/2024 14:02,0.0,0.0,7.3386,440316000,P24_07,161824191.0,601000000.0,play,,01:02:41.824191,01:10:01,5,start,307824191.0
80.0,07/02/2024 14:02,0.0,0.0,7.3386,440316000,P24_07,161824191.0,601000000.0,play,,01:02:41.824191,01:10:01,5,end,311824191.0
80.0,07/02/2024 14:02,0.0,0.0,7.3386,440316000,P24_07,161824191.0,601000000.0,play,,01:02:41.824191,01:10:01,6,start,313824191.0
80.0,07/02/2024 14:02,0.0,0.0,7.3386,440316000,P24_07,161824191.0,601000000.0,play,,01:02:41.824191,01:10:01,6,end,322824191.0
80.0,07/02/2024 14:02,0.0,0.0,7.3386,440316000,P24_07,161824191.0,601000000.0,play,,01:02:41.824191,01:10:01,7,start,328824191.0
80.0,07/02/2024 14:02,0.0,0.0,7.3386,440316000,P24_07,161824191.0,601000000.0,play,,01:02:41.824191,01:10:01,7,end,334824191.0
80.0,07/02/2024 14:02,0.0,0.0,7.3386,440316000,P24_07,161824191.0,601000000.0,play,,01:02:41.824191,01:10:01,8,start,335824191.0
80.0,07/02/2024 14:02,0.0,0.0,7.3386,440316000,P24_07,161824191.0,601000000.0,play,,01:02:41.824191,01:10:01,8,end,339824191.0
80.0,07/02/2024 14:02,0.0,0.0,7.3386,440316000,P24_07,161824191.0,601000000.0,play,,01:02:41.824191,01:10:01,9,start,342824191.0
80.0,07/02/2024 14:02,0.0,0.0,7.3386,440316000,P24_07,161824191.0,601000000.0,play,,01:02:41.824191,01:10:01,9,end,355824191.0
80.0,07/02/2024 14:02,0.0,0.0,7.3386,440316000,P24_07,161824191.0,601000000.0,play,,01:02:41.824191,01:10:01,10,start,357824191.0
80.0,07/02/2024 14:02,0.0,0.0,7.3386,440316000,P24_07,161824191.0,601000000.0,play,,01:02:41.824191,01:10:01,10,end,360824191.0
80.0,07/02/2024 14:02,0.0,0.0,7.3386,440316000,P24_07,161824191.0,601000000.0,play,,01:02:41.824191,01:10:01,11,start,367824191.0
80.0,07/02/2024 14:02,0.0,0.0,7.3386,440316000,P24_07,161824191.0,601000000.0,play,,01:02:41.824191,01:10:01,11,end,374824191.0
