Recording timestamp,Computer timestamp,Sensor,ParticipantID,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Recording software version,Recording resolution height,Recording resolution width,Event,Action,Event value,Participant name,Recording timestamp,Reconding timestamp ms,delta s
0,1191515458,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,RecordingStart,,,P01,0,0,
552807,1192068265,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,ParticipantVideoStart,,,P01,552807,552.807,0.6
1201845,1192717303,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,Eye tracker Calibration start,,,P01,1201845,1201.845,0.6
37869309,1229384767,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,MouseEvent,,Down. Left,P01,37869309,37869.309,36.7
37997530,1229512988,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,MouseEvent,,Up. Left,P01,37997530,37997.53,0.1
93309513,1284824971,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,MouseEvent,,Down. Left,P01,93309513,93309.513,55.3
93429349,1284944807,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,MouseEvent,,Up. Left,P01,93429349,93429.349,0.1
93502331,1285017789,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,Eye tracker Calibration end,,,P01,93502331,93502.331,0.1
93606145,1285121603,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,ScreenRecordingStart,,Screen Recording,P01,93606145,93606.145,0.1
99541346,1291056804,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,MouseEvent,,Down. Left,P01,99541346,99541.346,5.9
99661276,1291176734,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,MouseEvent,,Up. Left,P01,99661276,99661.276,0.1
101973208,1293488666,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,MouseEvent,,Down. Middle,P01,101973208,101973.208,2.3
102109153,1293624611,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,MouseEvent,,Up. Middle,P01,102109153,102109.153,0.1
103333466,1294848924,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,MouseEvent,,Down. Left,P01,103333466,103333.466,1.2
103446084,1294961542,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,MouseEvent,,Up. Left,P01,103446084,103446.084,0.1
105791229,1297306687,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,KeyboardEvent,,F11,P01,105791229,105791.229,2.3
114077121,1305592579,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,MouseEvent,,Down. Left,P01,114077121,114077.121,8.3
114213325,1305728783,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,MouseEvent,,Up. Left,P01,114213325,114213.325,0.1
115949176,1307464634,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,MouseEvent,,Down. Left,P01,115949176,115949.176,1.7
116077298,1307592756,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,MouseEvent,,Up. Left,P01,116077298,116077.298,0.1
117861100,1309376558,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,MouseEvent,,Down. Left,P01,117861100,117861.1,1.8
118005264,1309520722,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,MouseEvent,,Up. Left,P01,118005264,118005.264,0.1
118949083,1310464541,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,MouseEvent,,Down. Left,P01,118949083,118949.083,0.9
119085251,1310600709,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,MouseEvent,,Up. Left,P01,119085251,119085.251,0.1
119157119,1310672577,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,MouseEvent,,Down. Left,P01,119157119,119157.119,0.1
119269286,1310784744,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,MouseEvent,,Up. Left,P01,119269286,119269.286,0.1
120437214,1311952672,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,KeyboardEvent,,F11,P01,120437214,120437.214,1.2
122309107,1313824565,,P24_01,Recording1,06/02/2024,06/02/2024,58:34.4,58:34.4,663422,1.181.37603,1080,1920,MouseEvent,,Down. Middle,P01,122309107,122309.107,1.9
