Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID,starttobii,endtobii,ActionStart,ActionEnd,starttobii_HMS,endtobii_HMS
135.0,08/02/2024 11:03,0.0,0.0,0.7714,46284000,P24_10,150148780.0,196580708.0,play,pause,01:02:30.148780,01:03:16.580708
136.0,08/02/2024 11:04,46.058815,46058815.0,1.8444,110664000,P24_10,215324722.0,326428648.0,play,pause,01:03:35.324722,01:05:26.428648
137.0,08/02/2024 11:06,156.81288,156812880.0,0.4347,26082000,P24_10,340708711.0,366812973.0,play,pause,01:05:40.708711,01:06:06.812973
138.0,08/02/2024 11:07,182.949953,182949953.0,0.8289,49734000,P24_10,384948733.0,435092781.0,play,pause,01:06:24.948733,01:07:15.092781
139.0,08/02/2024 11:08,232.719515,232719515.0,0.1916,11496000,P24_10,452812886.0,464788590.0,play,fb,01:07:32.812886,01:07:44.788590
140.0,08/02/2024 11:08,233.7105493,233710549.3,0.0363,2178000,P24_10,464788590.0,467268605.0,fb,fb,01:07:44.788590,01:07:47.268605
141.0,08/02/2024 11:08,222.3455725,222345572.5,0.3494,20964000,P24_10,467268605.0,488396907.0,fb,pause,01:07:47.268605,01:08:08.396907
142.0,08/02/2024 11:09,243.363849,243363849.0,0.3926,23556000,P24_10,508212867.0,532212552.0,play,pause,01:08:28.212867,01:08:52.212552
143.0,08/02/2024 11:10,266.978772,266978772.0,0.2675,16050000,P24_10,555124576.0,571548675.0,play,pause,01:09:15.124576,01:09:31.548675
144.0,08/02/2024 11:10,283.035989,283035989.0,0.6762,40572000,P24_10,586292671.0,626988697.0,play,fb,01:09:46.292671,01:10:26.988697
145.0,08/02/2024 11:11,289.3697948,289369794.8,0.1832,10992000,P24_10,626988697.0,638221011.0,fb,pause,01:10:26.988697,01:10:38.221011
146.0,08/02/2024 11:11,300.443931,300443931.0,0.4362,26172000,P24_10,656893057.0,683540950.0,play,pause,01:10:56.893057,01:11:23.540950
147.0,08/02/2024 11:12,326.710426,326710426.0,0.5695,34170000,P24_10,701900953.0,736548781.0,play,pause,01:11:41.900953,01:12:16.548781
148.0,08/02/2024 11:13,360.984325,360984325.0,0.2239,13434000,P24_10,747956858.0,761372796.0,play,pause,01:12:27.956858,01:12:41.372796
149.0,08/02/2024 11:13,374.432106,374432106.0,0.5981,35886000,P24_10,777100841.0,813453128.0,play,fb,01:12:57.100841,01:13:33.453128
150.0,08/02/2024 11:14,393.694454,393694454.0,0.2047,12282000,P24_10,813453128.0,825940782.0,fb,pause,01:13:33.453128,01:13:45.940782
151.0,08/02/2024 11:14,406.058636,406058636.0,0.2895,17370000,P24_10,839996987.0,857388715.0,play,pause,01:13:59.996987,01:14:17.388715
152.0,08/02/2024 11:15,423.475091,423475091.0,0.2802,16812000,P24_10,875284563.0,892000000.0,play,,01:14:35.284563,01:14:52
