Index,Time stamp,start position seconds,start in microsecond,Minutes of consultation,consultation in microseconds,ParticipantID
,06/02/2024 12:58,0,0,7.3375,440250000,P24_01
21,06/02/2024 14:03,0,0,7.3294,439764000,P24_02
23,06/02/2024 15:53,0,0,1.9194,115164000,P24_03
24,06/02/2024 15:59,115.195749,115195749,5.3977,323862000,P24_03
45,06/02/2024 17:08,0,0,7.3379,440274000,P24_04
46,06/02/2024 17:59,0,0,0.8398,50388000,P24_05
47,06/02/2024 18:05,50.452083,50452083,0.6565,39390000,P24_05
48,06/02/2024 18:06,89.83977,89839770,0.1646,9876000,P24_05
49,06/02/2024 18:07,99.257937,99257937,1.0415,62490000,P24_05
50,06/02/2024 18:08,161.798249,161798249,0.4717,28302000,P24_05
51,06/02/2024 18:09,190.115228,190115228,0.8473,50838000,P24_05
52,06/02/2024 18:10,236.484632,236484632,0.0273,1638000,P24_05
53,06/02/2024 18:10,238.151632,238151632,0.8915,53490000,P24_05
54,06/02/2024 18:11,291.674257,291674257,0.4773,28638000,P24_05
55,06/02/2024 18:12,320.361402,320361402,0.1607,9642000,P24_05
56,06/02/2024 18:13,325.504593,325504593,0.0267,1602000,P24_05
57,06/02/2024 18:13,321.133448,321133448,0.7831,46986000,P24_05
58,06/02/2024 18:14,356.1026075,356102607.5,0.106,6360000,P24_05
59,06/02/2024 18:14,362.561462,362561462,1.0685,64110000,P24_05
60,06/02/2024 18:16,420.504143,420504143,0.0418,2508000,P24_05
61,06/02/2024 18:16,423.10583,423105830,0.2894,17364000,P24_05
62,07/02/2024 12:58,0,0,2.525,151500000,P24_06
63,07/02/2024 13:05,151.536951,151536951,0.0822,4932000,P24_06
64,07/02/2024 13:05,156.564142,156564142,0.5541,33246000,P24_06
65,07/02/2024 13:06,189.893535,189893535,0.9467,56802000,P24_06
66,07/02/2024 13:07,236.512663,236512663,0.1007,6042000,P24_06
67,07/02/2024 13:08,242.576547,242576547,0.3645,21870000,P24_06
68,07/02/2024 13:08,264.496538,264496538,0.2886,17316000,P24_06
69,07/02/2024 13:09,281.898132,281898132,0.1993,11958000,P24_06
70,07/02/2024 13:09,293.9024,293902400,0.1344,8064000,P24_06
71,07/02/2024 13:09,292.031525,292031525,0.1271,7626000,P24_06
72,07/02/2024 13:10,299.740054,299740054,0.4202,25212000,P24_06
73,07/02/2024 13:10,324.970893,324970893,0.5915,35490000,P24_06
74,07/02/2024 13:11,360.495023,360495023,0.1948,11688000,P24_06
