Answer,Part_id,Sc_id,proportion_valid,High_numfixations,High_longestfixation,High_meanfixationduration,High_stddevfixationduration,High_timetofirstfixation,High_timetolastfixation,High_proportionnum,High_proportiontime,High_fixationrate,High_totaltimespent,High_meanpupilsize,High_stddevpupilsize,High_maxpupilsize,High_minpupilsize,High_startpupilsize,High_endpupilsize,High_meanpupilvelocity,High_stddevpupilvelocity,High_maxpupilvelocity,High_minpupilvelocity,High_meandistance,High_stddevdistance,High_maxdistance,High_mindistance,High_startdistance,High_enddistance,High_proptransfrom_High,High_proptransfrom_Low,High_proptransfrom_Med,Low_numfixations,Low_longestfixation,Low_meanfixationduration,Low_stddevfixationduration,Low_timetofirstfixation,Low_timetolastfixation,Low_proportionnum,Low_proportiontime,Low_fixationrate,Low_totaltimespent,Low_meanpupilsize,Low_stddevpupilsize,Low_maxpupilsize,Low_minpupilsize,Low_startpupilsize,Low_endpupilsize,Low_meanpupilvelocity,Low_stddevpupilvelocity,Low_maxpupilvelocity,Low_minpupilvelocity,Low_meandistance,Low_stddevdistance,Low_maxdistance,Low_mindistance,Low_startdistance,Low_enddistance,Low_proptransfrom_High,Low_proptransfrom_Low,Low_proptransfrom_Med,Med_numfixations,Med_longestfixation,Med_meanfixationduration,Med_stddevfixationduration,Med_timetofirstfixation,Med_timetolastfixation,Med_proportionnum,Med_proportiontime,Med_fixationrate,Med_totaltimespent,Med_meanpupilsize,Med_stddevpupilsize,Med_maxpupilsize,Med_minpupilsize,Med_startpupilsize,Med_endpupilsize,Med_meanpupilvelocity,Med_stddevpupilvelocity,Med_maxpupilvelocity,Med_minpupilvelocity,Med_meandistance,Med_stddevdistance,Med_maxdistance,Med_mindistance,Med_startdistance,Med_enddistance,Med_proptransfrom_High,Med_proptransfrom_Low,Med_proptransfrom_Med
1,P24_01,seg1,0.964196502914238,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,57,716,255.3859649122807,129.86473105091824,199861,19552848,0.890625,0.0007554342275587,0.0039156419591948,14557,3.8649304635761625,0.1736464337051468,4.2495,3.4555,4.166,3.7825,9.31773659254878e-07,1.8244357323623864e-06,3.164214950465324e-05,0.0,704.9912488174074,7.290750584330655,750.45,695.8,750.45,701.5999999999999,0.3290322580645161,0.3290322580645161,0.3419354838709677,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1,P24_01,seg2,0.9691923397169026,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,35,683,238.45714285714288,141.9399920548744,149894,19536225,0.7,0.0004308796237666,0.0041936256889527,8346,3.87357711038961,0.1503357845270385,4.2125,2.941,3.76,3.9485,1.0757707065671313e-06,2.5251681938606144e-06,3.431608022096793e-05,0.0,703.5183441558443,3.630612327364089,718.0999999999999,699.05,699.25,706.9000000000001,0.2911392405063291,0.3544303797468354,0.3544303797468354,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
0,P24_01,seg4,0.9766860949208992,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,16,416,231.125,109.9871962245303,8660548,14223300,0.7272727272727273,0.0001894507587866,0.0043266630611141,3698,3.644110000000001,0.12751074015714,3.9385,2.6605,3.423,3.621,1.0925135357846335e-06,2.6436594009294703e-06,2.5637946562593845e-05,0.0,707.7327999999993,1.2508728518783487,711.0,703.9,707.9,706.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,47,1482,256.25531914893617,209.62652795171604,366408,19885993,0.7580645161290323,0.0006170213463565,0.0039023580205911,12044,3.5226704142011824,0.135184950806631,4.041,2.527,3.681,3.45,1.1150768762440716e-06,2.2759585392821737e-06,2.5637946562593845e-05,0.0,708.3820710059168,3.367136420265348,724.6,701.2,719.15,704.75,0.3217391304347826,0.3304347826086956,0.3478260869565217
1,P24_01,seg5,0.9475437135720232,29,416,232.06896551724137,82.7841129662323,9909699,19269755,0.8055555555555556,0.0003553954146281,0.0043090638930163,6730,3.8380210420841694,0.2405042770664697,4.172,3.339,3.633,3.405,1.1511170546457511e-06,2.110584807066526e-06,2.356791161282575e-05,0.0,702.8969939879753,2.8268667610453093,710.5,696.3,702.75,701.05,0.3194444444444444,0.3472222222222222,0.3333333333333333,21,1266,286.3333333333333,236.7936513788605,233168,8160926,0.9545454545454546,0.0003175323370221,0.0034924330616996,6013,3.830766055045872,0.2084747380578989,4.329,2.754,3.8125,4.0315,9.592086012181218e-07,2.345321566157716e-06,4.256979885920144e-05,0.0,703.9010321100913,2.4244572970406155,707.4,697.95,706.35,700.85,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1,P24_01,seg6,0.9492089925062448,21,400,196.7619047619048,87.72223478794002,716160,19319716,0.84,0.000217818066037,0.005082284607938,4132,3.6298071216617216,0.164255467247089,3.9525,2.842,3.6025,3.699,1.4700604321391363e-06,3.3977191739640748e-06,4.401080756529572e-05,0.0,699.2666172106831,1.7986659603619677,703.7,696.05,700.0999999999999,700.9000000000001,0.3214285714285714,0.3392857142857143,0.3392857142857143,16,516,254.0625,97.10782237629812,3430909,14506455,0.4848484848484848,0.0002142861661279,0.0039360393603936,4065,3.475158862876254,0.2260514559823111,4.3575,2.616,3.5665,3.784,1.4978071102876071e-06,3.0706888880617034e-06,2.407685379765837e-05,0.0,698.1244147157191,1.9853378430190824,701.9,693.85,700.9000000000001,697.1,0.3333333333333333,0.3333333333333333,0.3333333333333333,11,816,331.6363636363636,187.16103906917849,5329570,14506455,0.4074074074074074,0.0001923040428129,0.0030153508771929,3648,3.5217173913043456,0.2594568194920648,4.3575,2.616,3.226,3.784,1.6900003166151005e-06,3.680413171435693e-06,2.407685379765837e-05,0.0,697.3376086956517,1.5318270975187167,700.7,693.85,699.2,697.1,0.3333333333333333,0.3333333333333333,0.3333333333333333
1,P24_01,seg7,0.945878434637802,39,516,217.89743589743588,111.3776871899335,5562758,19486224,0.8297872340425532,0.0004495511841372,0.0045893151329724,8498,3.630633693972178,0.2001926401403518,4.053,2.3245,3.8745,3.5855,1.4481931088953034e-06,3.833582555097395e-06,4.401080756529572e-05,0.0,698.544513137558,1.3602711107702747,703.7,695.6,700.2,696.1,0.3142857142857143,0.3428571428571428,0.3428571428571428,3,283,222.3333333333333,58.18361739642297,3064520,4513497,0.2307692307692307,3.528484817834433e-05,0.0044977511244377,667,3.722033333333334,0.2546912199392124,4.039,2.616,4.0025,3.784,2.1737032177914017e-06,3.734628570807135e-06,1.9363554488141685e-05,0.0,697.4875000000001,0.8551749251131974,699.8,695.2,698.35,697.1,0.0,0.0,0.0,3,283,222.3333333333333,58.18361739642297,3064520,4513497,0.2307692307692307,3.528484817834433e-05,0.0044977511244377,667,3.736062500000001,0.2526780607432159,4.039,2.616,4.0025,3.784,2.501730829148626e-06,4.506518582084555e-06,2.305613929750828e-05,0.0,697.5421875000002,0.9117495283140764,699.8,695.2,698.35,697.1,0.0,0.0,0.0
1,P24_01,seg9,0.9508742714404664,44,1049,290.34090909090907,203.7910401734293,916020,12224715,0.88,0.0006722533595828,0.0034442270058708,12775,3.541324894514764,0.2031869991758737,4.1,2.145,3.5455,3.4085,1.1733872813269498e-06,3.8541830541189565e-06,7.127416836795964e-05,0.0,703.1192510548523,14.2759099990953,739.2,691.75,695.85,694.5999999999999,0.3333333333333333,0.3333333333333333,0.3333333333333333,33,1049,281.1818181818182,211.67050670580184,6678625,19719413,0.8918918918918919,0.0004882848472461,0.0035564177174264,9279,3.582667899408277,0.2215472015367519,4.221,2.145,3.584,3.8205,1.362975364892243e-06,4.5445460091639074e-06,7.127416836795964e-05,0.0,706.0093934911243,16.062213437770364,739.2,691.75,694.65,729.9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1,P24_01,seg10,0.9300582847626978,41,683,269.390243902439,134.75809401456755,1265774,216514,0.7321428571428571,0.0005942363965461,0.003712086917157,11045,3.7273032786885296,0.1871371887506037,4.1,2.5865,3.3835,3.4085,1.0442439848336752e-06,3.400306701098221e-06,7.127416836795964e-05,0.0,721.4064943253472,13.575381063825104,739.2,693.65,696.05,694.5999999999999,0.3333333333333333,0.3428571428571428,0.3238095238095238,42,683,269.7142857142857,133.12112322797367,216514,19719413,0.75,0.0006094621910434,0.003707627118644,11328,3.728927607361967,0.1855789077283678,4.221,2.5865,3.3165,3.704,1.0453881509111726e-06,3.390864786814577e-06,7.127416836795964e-05,0.0,721.5653987730069,13.42545000803251,739.2,693.65,696.25,721.6500000000001,0.3333333333333333,0.3425925925925926,0.324074074074074,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1,P24_01,seg11,0.9875104079933388,29,616,230.9655172413793,106.314050529088,8327439,19885960,0.7073170731707317,0.0003393787301955,0.0043296506419826,6698,3.6829058704453455,0.1426481747893809,4.1205,3.0745,3.6665,3.657,1.0077816873002747e-06,2.7944298554667464e-06,3.67757430201141e-05,0.0,699.0190283400815,3.525576250455424,709.35,692.2,695.3,693.0999999999999,0.3134328358208955,0.3432835820895522,0.3432835820895522,16,1699,347.75,393.305902998332,199859,6562019,1.0,0.0002819204620495,0.0028756290438533,5564,3.664442602040816,0.2069486942271367,4.044,2.775,3.3365,3.7215,1.0807673463734056e-06,3.774667322174557e-06,6.826778745121585e-05,0.0,696.6358418367346,1.330989019607913,700.4000000000001,691.1,694.45,695.0999999999999,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1,P24_01,seg12,0.9591666666666666,50,516,240.86,115.3910847898554,0,19886005,0.8333333333333334,0.0006287726423806,0.0041517894212405,12043,3.5454504181601005,0.1453883378086355,3.833,3.106,3.306,3.5885,8.301363161309151e-07,1.9344159589463693e-06,4.220954668267787e-05,0.0,698.5669056152922,2.335783191282736,705.45,693.4,702.5,694.25,0.3208955223880597,0.3507462686567164,0.3283582089552239,12,516,274.75,132.11023289799937,0,3497535,1.0,0.0001721384540337,0.0036396724294813,3297,3.4246863207547165,0.1026945244743609,3.833,3.106,3.306,3.526,7.416183455103523e-07,1.3700809229200062e-06,1.0747523266286416e-05,0.0,699.1783018867925,1.4606776144196087,702.9,696.9000000000001,702.5,700.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
