Answer,Part_id,Sc_id,proportion_valid,Title_numfixations,Title_longestfixation,Title_meanfixationduration,Title_stddevfixationduration,Title_timetofirstfixation,Title_timetolastfixation,Title_proportionnum,Title_proportiontime,Title_fixationrate,Title_totaltimespent,Title_meanpupilsize,Title_stddevpupilsize,Title_maxpupilsize,Title_minpupilsize,Title_startpupilsize,Title_endpupilsize,Title_meanpupilvelocity,Title_stddevpupilvelocity,Title_maxpupilvelocity,Title_minpupilvelocity,Title_meandistance,Title_stddevdistance,Title_maxdistance,Title_mindistance,Title_startdistance,Title_enddistance,Title_proptransfrom_Title,Title_proptransfrom_Content,Content_numfixations,Content_longestfixation,Content_meanfixationduration,Content_stddevfixationduration,Content_timetofirstfixation,Content_timetolastfixation,Content_proportionnum,Content_proportiontime,Content_fixationrate,Content_totaltimespent,Content_meanpupilsize,Content_stddevpupilsize,Content_maxpupilsize,Content_minpupilsize,Content_startpupilsize,Content_endpupilsize,Content_meanpupilvelocity,Content_stddevpupilvelocity,Content_maxpupilvelocity,Content_minpupilvelocity,Content_meandistance,Content_stddevdistance,Content_maxdistance,Content_mindistance,Content_startdistance,Content_enddistance,Content_proptransfrom_Title,Content_proptransfrom_Content
1,P24_01,seg1,1.0,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,5,550,326.6,144.16067424925564,133240,2548202,0.5,0.0005477606718571,0.0030618493570116,1633,3.640570247933885,0.0849747586488953,3.9065,3.4555,3.719,3.7825,7.924609244519238e-07,1.2928650696132385e-06,7.7154007805464e-06,0.0,703.1561983471074,1.1558469161891267,706.35,700.95,702.25,701.5999999999999,0.0,1.0
1,P24_01,seg2,1.0,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,3.9875,,3.9875,3.9875,3.9875,3.9875,6.905247988471144e-07,,6.905247988471144e-07,6.905247988471144e-07,701.35,,701.35,701.35,701.35,701.35,0.0,0.0,10,550,245.0,156.61772285125048,99930,2614822,0.9090909090909092,0.0008218084481908,0.0040816326530612,2450,3.937649122807018,0.0645346212312531,4.0935,3.7935,4.0885,3.9485,6.283363110731387e-07,9.072799268414976e-07,6.6946862803963e-06,0.0,702.8418128654969,1.413544851473638,706.9000000000001,700.3,701.5999999999999,706.9000000000001,0.0,1.0
1,P24_01,seg3,0.93,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,2.281,0.0,2.281,2.281,2.281,2.281,3.824677274091864e-05,5.408910472720874e-05,7.649354548183729e-05,0.0,703.8,0.0,703.8,703.8,703.8,703.8,0.0,0.0,7,583,290.1428571428572,155.09183147566537,16656,4813278,0.4666666666666667,0.0004386538015042,0.0034465780403741,2031,3.883131410256408,0.2169954668188573,4.192,3.435,3.874,4.122,1.1462576298931224e-06,1.9156806874353644e-06,1.8133781674072296e-05,0.0,698.6769230769233,3.206794121233868,703.35,693.0,700.75,695.45,0.0,1.0
0,P24_01,seg4,1.0,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,11,366,204.45454545454547,75.37687130196323,466342,4879908,0.6470588235294118,0.0004516211169921,0.0048910626945309,2249,3.4545519125683053,0.0792650047094978,4.041,3.265,3.49,3.45,1.046149879213146e-06,1.9556173057893195e-06,1.780246172320627e-05,0.0,706.049726775956,2.099178916324341,710.8,701.2,705.25,704.75,0.0,1.0
1,P24_01,seg5,0.9666666666666668,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,16,416,213.3125,100.02580916943388,66620,4896540,0.8421052631578947,0.0007090820887692,0.0046879578083797,3413,3.631554901960784,0.2121574611284986,4.162,3.237,4.03,3.579,1.5158986511433218e-06,2.693277508757472e-06,2.356791161282575e-05,0.0,700.5954901960788,1.8486080246608585,705.9,696.3,703.95,701.0999999999999,0.0,1.0
1,P24_01,seg6,0.9111111111111112,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,11,400,178.8181818181818,98.78645472109844,333098,2914596,1.0,0.0007245629415708,0.005592272496187,1967,3.665981012658228,0.079021038198374,3.9525,3.2705,3.7145,3.6345,1.533008539673442e-06,3.1917258850794623e-06,1.987391173821672e-05,0.0,698.9534810126577,2.162028396266205,703.7,696.05,698.1,700.0,0.0,1.0
1,P24_01,seg7,0.9458333333333332,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,25,516,233.2,119.03395874007272,83273,7761172,0.9615384615384616,0.0007727324841228,0.0042881646655231,5830,3.593415313225057,0.2188062866265165,4.053,2.3245,3.7325,3.537,1.4292645936718663e-06,3.895782010212328e-06,3.839687781447015e-05,0.0,698.2798143851512,0.9869077678340528,701.2,695.6,697.05,697.95,0.0,1.0
1,P24_01,seg9,0.9354166666666668,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,19,683,259.57894736842104,136.85690653195795,216514,7711212,0.8260869565217391,0.0006610030198134,0.0038523925385239,4932,3.622188144329899,0.237559426893795,4.221,2.419,3.3165,3.8205,1.738089562847587e-06,5.347717272355459e-06,7.127416836795964e-05,0.0,713.9757731958771,17.301982475769577,739.2,692.9,696.25,729.9,0.0,1.0
1,P24_01,seg10,0.9002079002079002,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,12,550,285.9166666666667,146.33551630869837,99931,7727891,0.6,0.0004768633703746,0.0034975225881667,3431,3.752474576271185,0.0881278410728421,4.082,3.5425,3.84,3.704,6.136972205103852e-07,8.480192507422002e-07,7.926023778071314e-06,0.0,725.7533898305085,2.2158589786678538,731.95,720.1,725.6500000000001,721.6500000000001,0.0,1.0
1,P24_01,seg11,0.9972222222222222,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,3.585833333333333,0.0621154838452805,3.6575,3.5475,3.5475,3.6575,1.701232894970792e-07,1.1365423565187461e-07,3.002101471029924e-07,9.006845202351466e-08,701.2000000000002,3.7252516693506377,703.45,696.9000000000001,703.45,696.9000000000001,0.0,0.0,17,333,216.58823529411765,64.96350785588149,866057,5879190,0.8095238095238095,0.0006175300375029,0.0046170559478544,3682,3.5911770072992675,0.1049240814874861,4.0755,3.204,3.738,3.657,8.398224200426792e-07,1.6141429985275682e-06,1.4169918943260268e-05,0.0,700.1076642335765,3.8392750122189327,709.35,692.2,701.45,693.0999999999999,0.0,1.0
