Answer,Part_id,Sc_id,proportion_valid,High_numfixations,High_longestfixation,High_meanfixationduration,High_stddevfixationduration,High_timetofirstfixation,High_timetolastfixation,High_proportionnum,High_proportiontime,High_fixationrate,High_totaltimespent,High_meanpupilsize,High_stddevpupilsize,High_maxpupilsize,High_minpupilsize,High_startpupilsize,High_endpupilsize,High_meanpupilvelocity,High_stddevpupilvelocity,High_maxpupilvelocity,High_minpupilvelocity,High_meandistance,High_stddevdistance,High_maxdistance,High_mindistance,High_startdistance,High_enddistance,High_proptransfrom_High,High_proptransfrom_Low,High_proptransfrom_Med,Low_numfixations,Low_longestfixation,Low_meanfixationduration,Low_stddevfixationduration,Low_timetofirstfixation,Low_timetolastfixation,Low_proportionnum,Low_proportiontime,Low_fixationrate,Low_totaltimespent,Low_meanpupilsize,Low_stddevpupilsize,Low_maxpupilsize,Low_minpupilsize,Low_startpupilsize,Low_endpupilsize,Low_meanpupilvelocity,Low_stddevpupilvelocity,Low_maxpupilvelocity,Low_minpupilvelocity,Low_meandistance,Low_stddevdistance,Low_maxdistance,Low_mindistance,Low_startdistance,Low_enddistance,Low_proptransfrom_High,Low_proptransfrom_Low,Low_proptransfrom_Med,Med_numfixations,Med_longestfixation,Med_meanfixationduration,Med_stddevfixationduration,Med_timetofirstfixation,Med_timetolastfixation,Med_proportionnum,Med_proportiontime,Med_fixationrate,Med_totaltimespent,Med_meanpupilsize,Med_stddevpupilsize,Med_maxpupilsize,Med_minpupilsize,Med_startpupilsize,Med_endpupilsize,Med_meanpupilvelocity,Med_stddevpupilvelocity,Med_maxpupilvelocity,Med_minpupilvelocity,Med_meandistance,Med_stddevdistance,Med_maxdistance,Med_mindistance,Med_startdistance,Med_enddistance,Med_proptransfrom_High,Med_proptransfrom_Low,Med_proptransfrom_Med
0,P24_01,seg1,0.970857618651124,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,46,550,233.17391304347825,113.4642977323853,16656,19452923,0.7796610169491526,0.0005528023383239,0.0042886444154391,10726,3.873338028169013,0.1702725252095319,4.23,2.941,3.9185,4.0585,1.2331777335756086e-06,2.663925527763422e-06,3.164214950465324e-05,0.0,703.4555164319247,2.8380895232383634,712.4000000000001,697.4000000000001,709.35,707.4000000000001,0.3055555555555556,0.3333333333333333,0.3611111111111111,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1,P24_01,seg2,0.9625312239800168,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,32,550,245.6875,118.13781932488304,149894,19586163,0.6808510638297872,0.0004087040126759,0.004070211142203,7862,3.810682847896445,0.1877058646766683,4.23,2.941,3.7975,3.648,1.2562937141687544e-06,2.6013140607701564e-06,2.5516330451488968e-05,0.0,703.2152103559871,3.617559602264762,718.0999999999999,698.0,703.15,700.9000000000001,0.288135593220339,0.3559322033898305,0.3559322033898305,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
0,P24_01,seg4,0.9766860949208992,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,16,416,231.125,109.9871962245303,7661254,13224006,0.7272727272727273,0.0001894507490809,0.0043266630611141,3698,3.644110000000001,0.12751074015714,3.9385,2.6605,3.423,3.621,1.0925135357846335e-06,2.6436594009294703e-06,2.5637946562593845e-05,0.0,707.7327999999993,1.2508728518783487,711.0,703.9,707.9,706.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,47,1482,254.10638297872345,210.06978488966303,466338,19552896,0.746031746031746,0.0006118470244116,0.0039353596248848,11943,3.511494761350409,0.1359060835673413,4.041,2.527,3.4895,3.379,1.0771366706527605e-06,2.237876980277465e-06,2.5637946562593845e-05,0.0,707.8661816065188,3.009585516860696,724.6,701.2,713.75,708.7,0.3247863247863248,0.3333333333333333,0.3418803418803419
0,P24_01,seg5,0.9591666666666666,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,23,1266,279.5652173913044,229.50080730437452,11008874,19852646,0.92,0.0003357151882145,0.0035769828926905,6430,3.825471365638765,0.2030575915638938,4.329,2.754,3.803,4.0085,9.195713704563744e-07,2.3127650462401145e-06,4.256979885920144e-05,0.0,704.2133259911888,2.3870659009230284,708.9000000000001,697.95,703.95,699.8,0.3333333333333333,0.3333333333333333,0.3333333333333333,27,416,217.11111111111111,86.77705002047726,49964,10742398,0.6923076923076923,0.0003060594764096,0.0046059365404298,5862,3.5224470046082965,0.1275614218860604,4.05,3.2245,3.473,3.769,9.490299991786064e-07,2.043427214508632e-06,2.509756829780848e-05,0.0,705.4076036866364,2.108248349588577,713.6,701.0,709.55,704.4000000000001,0.3333333333333333,0.3333333333333333,0.3333333333333333
1,P24_01,seg6,0.9500416319733556,27,416,229.5185185185185,82.13467850491297,10908991,19636161,0.7941176470588235,0.0003263878263713,0.004356946909795,6197,3.871556399132322,0.2185878991122562,4.172,3.339,3.633,3.462,1.191388204615241e-06,2.184265141005279e-06,2.356791161282575e-05,0.0,703.2395878524942,2.6198075027574648,710.5,696.7,702.75,696.7,0.3188405797101449,0.3478260869565217,0.3333333333333333,24,1266,277.625,224.6573840704803,16655,9160218,0.9230769230769232,0.0003509314324854,0.0036019810895992,6663,3.83230891719745,0.2030884636013921,4.329,2.754,3.803,4.0315,9.266334354890292e-07,2.286018875568314e-06,4.256979885920144e-05,0.0,704.0754777070057,2.4507702946763352,708.9000000000001,697.95,703.95,700.85,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1,P24_01,seg7,0.975,25,416,235.2,87.64511775716127,166549,8260832,0.8333333333333334,0.0003020090380827,0.0042517006802721,5880,3.839742729306486,0.2514327929257707,4.172,3.339,3.975,3.405,1.184089908927418e-06,2.2160833020114032e-06,2.356791161282575e-05,0.0,702.7499999999999,2.9419590952944383,710.5,696.3,704.0999999999999,701.05,0.3225806451612903,0.3387096774193548,0.3387096774193548,15,516,252.13333333333333,100.19827961644472,9426676,19852681,0.4838709677419355,0.0001942513915015,0.0039661554732945,3782,3.461053571428571,0.2225506160173638,4.3575,2.616,3.5665,3.603,1.3855208139062477e-06,2.887600484340321e-06,2.407685379765837e-05,0.0,698.2066071428574,2.020442370371352,701.9,693.85,700.9000000000001,697.3,0.3333333333333333,0.3333333333333333,0.3333333333333333,10,816,336.5,196.5509546600519,11325337,19852681,0.4,0.0001728334035966,0.0029717682020802,3365,3.505097619047617,0.2602000541431959,4.3575,2.616,3.226,3.603,1.4552994889309298e-06,3.2163169959731764e-06,2.407685379765837e-05,0.0,697.3811904761902,1.587108957799686,700.7,693.85,699.2,697.3,0.3333333333333333,0.3333333333333333,0.3333333333333333
1,P24_01,seg8,0.9625312239800168,23,400,193.43478260869568,91.3339656460422,99929,19852676,0.8214285714285714,0.0002312798002125,0.0051697010564171,4449,3.640988636363635,0.1693457492129129,4.0015,2.842,3.6925,3.696,1.6226069131618118e-06,3.590280648842299e-06,4.401080756529572e-05,0.0,699.1122159090918,1.5743605146768451,702.6,696.05,700.0,701.4000000000001,0.3214285714285714,0.3392857142857143,0.3392857142857143,16,516,254.0625,97.10782237629812,4430203,15505749,0.4848484848484848,0.0002113176866405,0.0039360393603936,4065,3.475158862876254,0.2260514559823111,4.3575,2.616,3.5665,3.784,1.4978071102876071e-06,3.0706888880617034e-06,2.407685379765837e-05,0.0,698.1244147157191,1.9853378430190824,701.9,693.85,700.9000000000001,697.1,0.3333333333333333,0.3333333333333333,0.3333333333333333,11,816,331.6363636363636,187.16103906917849,6328864,15505749,0.4074074074074074,0.0001896400789335,0.0030153508771929,3648,3.5217173913043456,0.2594568194920648,4.3575,2.616,3.226,3.784,1.6900003166151005e-06,3.680413171435693e-06,2.407685379765837e-05,0.0,697.3376086956517,1.5318270975187167,700.7,693.85,699.2,697.1,0.3333333333333333,0.3333333333333333,0.3333333333333333
1,P24_01,seg9,0.939217318900916,52,1016,247.34615384615384,161.19758727034284,566268,19919217,0.8666666666666667,0.0006852413858945,0.004042917120199,12862,3.590689057421451,0.1892173148932234,4.053,2.3245,3.8745,3.3035,1.439909612745205e-06,4.132971803217738e-06,6.952867006904833e-05,0.0,697.5843445287102,2.00609058477342,703.7,690.3,700.2,696.5,0.3146853146853147,0.3426573426573426,0.3426573426573426,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1,P24_01,seg10,0.9567027477102414,48,1016,276.9166666666667,178.9083722852535,749466,19835958,0.8421052631578947,0.0006951957018788,0.0036111947035811,13292,3.5273906926406897,0.176402121630276,4.053,2.3245,3.5445,3.56,1.241731663498785e-06,3.678523886470901e-06,6.952867006904833e-05,0.0,696.8839826839823,1.8291556357770256,701.2,690.3,700.0,697.25,0.3174603174603174,0.3412698412698413,0.3412698412698413,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1,P24_01,seg11,0.9508742714404664,44,1049,290.34090909090907,203.7910401734293,916020,12224715,0.88,0.0006722533595828,0.0034442270058708,12775,3.541324894514764,0.2031869991758737,4.1,2.145,3.5455,3.4085,1.1733872813269498e-06,3.8541830541189565e-06,7.127416836795964e-05,0.0,703.1192510548523,14.2759099990953,739.2,691.75,695.85,694.5999999999999,0.3333333333333333,0.3333333333333333,0.3333333333333333,33,1049,281.1818181818182,211.67050670580184,6678625,19719413,0.8918918918918919,0.0004882848472461,0.0035564177174264,9279,3.582667899408277,0.2215472015367519,4.221,2.145,3.584,3.8205,1.362975364892243e-06,4.5445460091639074e-06,7.127416836795964e-05,0.0,706.0093934911243,16.062213437770364,739.2,691.75,694.65,729.9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1,P24_01,seg12,0.951706910907577,38,550,255.57894736842104,120.81427148088348,0,19752725,0.6551724137931034,0.0005106228426224,0.0039126853377265,9712,3.5946656534954373,0.2450425193550822,4.082,2.878,3.96,3.357,8.199064088155354e-07,2.620453005895599e-06,4.5331732212548775e-05,0.0,722.2548632218844,3.87870104841402,731.95,713.7,729.9,719.8,0.3181818181818182,0.3636363636363636,0.3181818181818182,21,550,286.3333333333333,133.74989096568763,0,10725774,0.7,0.0003161424168748,0.0034924330616996,6013,3.781247354497354,0.0938535899460852,4.082,3.5425,3.96,3.6875,5.631186077576802e-07,7.180455019894523e-07,7.926023778071314e-06,0.0,725.2179894179894,2.5987283525381417,731.95,718.75,729.9,721.05,0.34,0.36,0.3,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1,P24_01,seg13,0.9592006661115736,50,516,237.52,111.92166356657768,116584,19752763,0.8333333333333334,0.0006195148535154,0.0042101717750084,11876,3.525923627684964,0.1485689848664368,3.833,3.106,3.413,3.62,7.826072352592932e-07,1.8843006381363527e-06,4.220954668267787e-05,0.0,699.1794749403343,2.449588990705505,706.35,694.05,706.35,694.2,0.3208955223880597,0.3507462686567164,0.3283582089552239,16,516,256.0,123.181167391773,116584,4513485,1.0,0.0002136689828224,0.00390625,4096,3.414349816849814,0.0957594324660309,3.833,3.106,3.413,3.526,6.477863377503487e-07,1.2245025415935953e-06,1.0747523266286416e-05,0.0,700.1272893772893,2.3091523417211883,706.35,696.9000000000001,706.35,700.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1,P24_01,seg14,0.9758534554537884,31,516,226.1935483870968,107.94394204241344,632887,11891640,0.7560975609756098,0.0003595358685226,0.0044209925841414,7012,3.627772373540856,0.0999900469481952,3.8185,3.289,3.7015,3.677,8.248142582732257e-07,1.38459310769456e-06,1.5310717502251542e-05,0.0,697.8200389105059,2.416027783758776,705.45,691.5,698.2,691.7,0.3205128205128205,0.358974358974359,0.3205128205128205,15,1699,354.26666666666665,406.21519045006295,13890233,19919297,1.0,0.0002724719916328,0.002822732404968,5314,3.645263013698629,0.2180009246797415,4.044,2.775,3.2295,3.796,1.0943575210199008e-06,3.815644453423204e-06,6.826778745121585e-05,0.0,696.6594520547944,1.385144783969385,700.4000000000001,691.1,696.35,695.3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
