Answer,Part_id,Sc_id,proportion_valid,High_numfixations,High_longestfixation,High_meanfixationduration,High_stddevfixationduration,High_timetofirstfixation,High_timetolastfixation,High_proportionnum,High_proportiontime,High_fixationrate,High_totaltimespent,High_meanpupilsize,High_stddevpupilsize,High_maxpupilsize,High_minpupilsize,High_startpupilsize,High_endpupilsize,High_meanpupilvelocity,High_stddevpupilvelocity,High_maxpupilvelocity,High_minpupilvelocity,High_meandistance,High_stddevdistance,High_maxdistance,High_mindistance,High_startdistance,High_enddistance,High_proptransfrom_High,High_proptransfrom_Low,High_proptransfrom_Med,Low_numfixations,Low_longestfixation,Low_meanfixationduration,Low_stddevfixationduration,Low_timetofirstfixation,Low_timetolastfixation,Low_proportionnum,Low_proportiontime,Low_fixationrate,Low_totaltimespent,Low_meanpupilsize,Low_stddevpupilsize,Low_maxpupilsize,Low_minpupilsize,Low_startpupilsize,Low_endpupilsize,Low_meanpupilvelocity,Low_stddevpupilvelocity,Low_maxpupilvelocity,Low_minpupilvelocity,Low_meandistance,Low_stddevdistance,Low_maxdistance,Low_mindistance,Low_startdistance,Low_enddistance,Low_proptransfrom_High,Low_proptransfrom_Low,Low_proptransfrom_Med,Med_numfixations,Med_longestfixation,Med_meanfixationduration,Med_stddevfixationduration,Med_timetofirstfixation,Med_timetolastfixation,Med_proportionnum,Med_proportiontime,Med_fixationrate,Med_totaltimespent,Med_meanpupilsize,Med_stddevpupilsize,Med_maxpupilsize,Med_minpupilsize,Med_startpupilsize,Med_endpupilsize,Med_meanpupilvelocity,Med_stddevpupilvelocity,Med_maxpupilvelocity,Med_minpupilvelocity,Med_meandistance,Med_stddevdistance,Med_maxdistance,Med_mindistance,Med_startdistance,Med_enddistance,Med_proptransfrom_High,Med_proptransfrom_Low,Med_proptransfrom_Med
0,P24_01,seg1,0.9611829944547134,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,17,466,200.8235294117647,107.11864642425569,2414963,8460686,0.7391304347826086,0.0003949610649834,0.0049794961921499,3414,3.931530405405408,0.1846826570583719,4.23,2.941,3.6375,4.0585,1.81442917753088e-06,3.4739787197575614e-06,2.5516330451488968e-05,0.0,701.5945945945949,1.8181489481891144,707.55,698.0,704.35,707.4000000000001,0.2702702702702703,0.3513513513513513,0.3783783783783784,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1,P24_01,seg2,1.0,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,6,233,213.8333333333333,19.477337258123008,233169,2581513,0.6,0.0004303589925238,0.0046765393608729,1283,3.728386363636363,0.1154759925621563,3.94,3.527,3.799,3.648,8.981839604700606e-07,1.2393079147065206e-06,7.445211648153714e-06,3.002101471030723e-08,707.5863636363638,6.05768489512073,718.0999999999999,700.7,702.9000000000001,700.9000000000001,0.375,0.375,0.25,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
0,P24_01,seg3,0.9520833333333332,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,13,583,294.6923076923077,128.24740713128446,149895,7244895,0.52,0.0005044341088047,0.0033933698773166,3831,3.780072992700733,0.2080045350321509,4.131,2.281,3.626,4.131,1.3129809580357612e-06,4.894678359579431e-06,7.649354548183729e-05,0.0,701.0481751824818,2.472874147212764,708.15,696.0,706.4,696.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,14,583,279.57142857142856,135.58461126981487,149895,7244895,0.56,0.0005153628561372,0.0035769034236075,3914,3.7835653710247374,0.2058279340662287,4.131,2.281,3.626,4.0485,1.3149455336928937e-06,4.818239512467396e-06,7.649354548183729e-05,0.0,701.0143109540637,2.444721873284659,708.15,696.0,706.4,697.75,0.3333333333333333,0.3333333333333333,0.3333333333333333
0,P24_01,seg4,1.0,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,14,366,197.5,72.54998277050106,466342,5546105,0.6666666666666666,0.0004624416282427,0.0050632911392405,2765,3.4388642241379297,0.0773848389756775,4.041,3.265,3.49,3.379,9.390693858886508e-07,1.7610014938369443e-06,1.780246172320627e-05,0.0,705.8357758620688,1.9723006764189648,710.8,701.2,705.25,708.7,0.3333333333333333,0.3333333333333333,0.3333333333333333
0,P24_01,seg5,0.9,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,11,333,219.54545454545453,68.5395705215077,482992,3863956,0.9166666666666666,0.0006744259629699,0.0045548654244306,2415,3.977472636815921,0.1523702989349053,4.329,3.6355,3.756,4.0085,1.0498315012629126e-06,1.4040137974299565e-06,9.847484087906815e-06,0.0,703.6223880597014,2.4180924855465573,707.4,697.95,698.7,699.8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1,P24_01,seg6,0.9907407407407408,26,416,231.30769230769232,83.22296280751807,399718,8627241,0.8125,0.000676207633298,0.0043232457598935,6014,3.875446902654868,0.2189120383731989,4.172,3.339,3.7,3.462,1.1887362829821085e-06,2.203430989794036e-06,2.356791161282575e-05,0.0,703.212942477876,2.635434297992308,710.5,696.7,705.15,696.7,0.3188405797101449,0.3478260869565217,0.3333333333333333,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1,P24_01,seg7,0.9916666666666668,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,3,283,222.3333333333333,58.18361739642297,1898670,5862556,0.1875,0.0001124945713358,0.0044977511244377,667,3.7605625000000007,0.2707370671404444,4.3575,2.616,3.5115,3.603,2.104310348608999e-06,4.561866382824668e-06,2.3416391474031828e-05,0.0,698.2078125,0.9575605061905392,700.4000000000001,695.2,699.35,697.3,0.0,0.0,0.0,4,816,370.75,300.61090576801547,499649,5862556,0.25,0.0002501191143793,0.0026972353337828,1483,3.756392405063292,0.2523793780291843,4.3575,2.616,3.5115,3.603,1.9067074662068616e-06,4.193645395397682e-06,2.3416391474031828e-05,0.0,698.4696202531647,1.044473174819678,700.7,695.2,699.35,697.3,0.0,0.0,0.0
1,P24_01,seg8,0.946058091286307,12,400,186.16666666666663,100.04256669795689,566268,3863934,0.9230769230769232,0.0005909025865081,0.0053715308863025,2234,3.7178563535911584,0.1475132247403483,3.9525,2.842,3.8745,3.696,1.7744234652362197e-06,4.408279082459867e-06,4.401080756529572e-05,0.0,698.4024861878452,1.39711285875049,701.9,696.05,700.2,701.4000000000001,0.3125,0.34375,0.34375,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1,P24_01,seg9,0.9435897435897436,35,1016,273.65714285714284,182.382104200969,83273,12907523,0.8974358974358975,0.0007824316403657,0.0036542075589893,9578,3.5508204545454576,0.1920482025428636,4.053,2.3245,3.7205,3.3035,1.4228471827373178e-06,4.280817316989454e-06,6.952867006904833e-05,0.0,697.0510606060601,1.8619357238423664,701.2,690.3,697.3499999999999,696.5,0.3195876288659793,0.3402061855670103,0.3402061855670103,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1,P24_01,seg10,1.0,8,333,228.875,76.9330645988539,416373,2847994,0.8888888888888888,0.000610763310704,0.0043691971600218,1831,3.489767361111112,0.0677424398587955,3.604,3.351,3.4775,3.56,8.103617480603698e-07,1.1916887186163235e-06,7.68584123934188e-06,0.0,695.8562500000002,1.0433585328026185,697.5999999999999,692.8,697.5,697.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
