Part_id,Sc_id,abspathanglesrate,enddistance,endpupilsize,eyemovementvelocity,fixationrate,maxdistance,maxpupilsize,maxpupilvelocity,meanabspathangles,meandistance,meanfixationduration,meanpathdistance,meanpupilsize,meanpupilvelocity,meanrelpathangles,mindistance,minpupilsize,minpupilvelocity,proportion_valid,relpathanglesrate,startdistance,startpupilsize,stddevabspathangles,stddevdistance,stddevfixationduration,stddevpathdistance,stddevpupilsize,stddevpupilvelocity,stddevrelpathangles,High_numfixations,High_longestfixation,High_meanfixationduration,High_stddevfixationduration,High_timetofirstfixation,High_timetolastfixation,High_proportionnum,High_proportiontime,High_fixationrate,High_totaltimespent,High_meanpupilsize,High_stddevpupilsize,High_maxpupilsize,High_minpupilsize,High_startpupilsize,High_endpupilsize,High_meanpupilvelocity,High_stddevpupilvelocity,High_maxpupilvelocity,High_minpupilvelocity,High_meandistance,High_stddevdistance,High_maxdistance,High_mindistance,High_startdistance,High_enddistance,High_proptransfrom_High,High_proptransfrom_Low,High_proptransfrom_Med,Low_numfixations,Low_longestfixation,Low_meanfixationduration,Low_stddevfixationduration,Low_timetofirstfixation,Low_timetolastfixation,Low_proportionnum,Low_proportiontime,Low_fixationrate,Low_totaltimespent,Low_meanpupilsize,Low_stddevpupilsize,Low_maxpupilsize,Low_minpupilsize,Low_startpupilsize,Low_endpupilsize,Low_meanpupilvelocity,Low_stddevpupilvelocity,Low_maxpupilvelocity,Low_minpupilvelocity,Low_meandistance,Low_stddevdistance,Low_maxdistance,Low_mindistance,Low_startdistance,Low_enddistance,Low_proptransfrom_High,Low_proptransfrom_Low,Low_proptransfrom_Med,Med_numfixations,Med_longestfixation,Med_meanfixationduration,Med_stddevfixationduration,Med_timetofirstfixation,Med_timetolastfixation,Med_proportionnum,Med_proportiontime,Med_fixationrate,Med_totaltimespent,Med_meanpupilsize,Med_stddevpupilsize,Med_maxpupilsize,Med_minpupilsize,Med_startpupilsize,Med_endpupilsize,Med_meanpupilvelocity,Med_stddevpupilvelocity,Med_maxpupilvelocity,Med_minpupilvelocity,Med_meandistance,Med_stddevdistance,Med_maxdistance,Med_mindistance,Med_startdistance,Med_enddistance,Med_proptransfrom_High,Med_proptransfrom_Low,Med_proptransfrom_Med,Answer
P24_01,seg1,4.026099863261143e-06,702.55,3.857,0.0008955984485119,3.3754652772024145e-06,712.4000000000001,4.195,3.188423201633242e-05,1.230027608943192,703.8442176870745,233.6969696969697,273.6173606245585,3.813210884353736,1.064958982450014e-06,1.2582525555950672,697.4000000000001,2.375,0.0,0.98,3.989782489461601e-06,706.55,3.911,1.1303101396389108,2.376259762777987,115.73258099182917,218.75927842996808,0.1832991585271557,2.4474113218293257e-06,0.975301728098748,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,26,550,251.15384615384616,119.61427751157213,16654,9543263,0.7878787878787878,0.0006679329775797,0.0039816232771822,6530,3.83754819277108,0.1600668298771123,4.195,3.4555,3.911,3.7825,9.318683091880996e-07,2.057787211756421e-06,3.164214950465324e-05,0.0,703.9505020080327,2.4969508062774888,712.4000000000001,697.4000000000001,706.55,701.5999999999999,0.3225806451612903,0.3225806451612903,0.3548387096774194,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1
P24_01,seg2,4.799465113734477e-06,706.9000000000001,3.9485,0.0009149143273729,3.229158982697864e-06,718.0999999999999,4.0975,3.431608022096793e-05,1.5342343302270858,706.0624161073823,232.71875,292.4686266090892,3.805963926174498,1.2071495860434737e-06,1.5350102522505706,700.3,2.542,0.0,0.9933333333333332,4.646992635551478e-06,707.3,3.8765,1.051174515462692,4.181811983284096,141.02190046687898,151.60795668776623,0.1987007693878298,2.51475633389738e-06,1.052873427113861,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,20,683,249.95,160.0971662197022,349754,9526638,0.7142857142857143,0.0005044551798283,0.004000800160032,4999,3.8847521008403385,0.1471674198621715,4.0975,3.134,3.817,3.9485,9.160696568025992e-07,2.387007572665675e-06,3.431608022096793e-05,0.0,704.7803921568631,4.126167776513496,718.0999999999999,700.3,716.5,706.9000000000001,0.3265306122448979,0.3469387755102041,0.3265306122448979,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1
P24_01,seg3,4.6501210127474e-06,695.45,4.122,0.0010230124103207,3.347303793865501e-06,708.15,4.2135,8.03410592049958e-05,1.4340272685082998,699.6000869565208,240.5,315.4816161559741,3.8487034782608736,1.4150591868386884e-06,1.3536269689953735,693.0,2.281,0.0,0.9583333333333334,4.247813145747068e-06,706.4,3.626,1.145775297906934,2.643196016958072,111.75607077397947,298.0826421143446,0.2095406694371271,5.034751180338434e-06,0.8593820048044754,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,16,583,288.3125,118.26057035208312,149895,8643911,0.5161290322580645,0.0004825347625344,0.0034684587036635,4613,3.825155015197572,0.2152212849761456,4.1435,2.281,3.626,4.112,1.2461031079238842e-06,4.5001758422403904e-06,7.649354548183729e-05,0.0,700.1246200607904,3.0986870633853,708.15,693.0,706.4,696.95,0.3333333333333333,0.3333333333333333,0.3333333333333333,17,583,276.2352941176471,124.8641909294678,149895,8643911,0.5483870967741935,0.0004912168317497,0.0036201022146507,4696,3.826878698224856,0.2127956768334651,4.1435,2.281,3.626,4.112,1.2495374722413282e-06,4.4419518513232014e-06,7.649354548183729e-05,0.0,700.1208579881659,3.06008109276745,708.15,693.0,706.4,696.95,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
P24_01,seg4,5.508457288777618e-06,704.75,3.45,0.0008931089320038,3.602528254328888e-06,714.45,4.0805,1.780246172320627e-05,1.572740415272101,707.2204658901834,206.36111111111111,254.99489947295885,3.584901830282861,1.5350714843397214e-06,1.3442815880606565,701.2,3.265,0.0,1.0,4.57376726927581e-06,708.3,3.6035,1.1827839643836924,2.245652566460634,108.2550303094576,184.5137523566729,0.1296985203461389,2.3759423331753004e-06,1.062627667457564,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,12,416,255.3333333333333,112.43610980409623,0,4230359,0.7058823529411765,0.0003066151825351,0.0039164490861618,3064,3.688982412060304,0.0628948813755419,3.9385,3.5460000000000003,3.6035,3.621,8.351637163630375e-07,1.3000824710102752e-06,9.33653557490243e-06,0.0,707.3731155778894,1.0641154821266192,710.1,703.9,708.3,706.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,25,500,239.2,109.0699316952202,0,9893052,0.6944444444444444,0.0005984199711357,0.0041806020066889,5980,3.573932668329177,0.1351317429589074,4.041,3.265,3.6035,3.45,9.62098744055987e-07,1.7406578953734288e-06,1.780246172320627e-05,0.0,706.6517456359109,1.7705887284000068,710.8,701.2,708.3,704.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
P24_01,seg5,4.243062134868348e-06,701.0999999999999,3.579,0.0009521078834347,3.6760636383799018e-06,710.5,4.172,2.356791161282575e-05,1.1872189686852874,702.6123089983012,225.3333333333333,266.4020708439608,3.810983870967741,1.0928052046886077e-06,1.1651626696186488,696.3,3.237,0.0,0.9816666666666668,4.0452558935503936e-06,705.15,3.7,1.3210056171990534,2.8500934642039035,86.15965247310201,188.03807364402715,0.2472720110394493,1.978067037584347e-06,1.2128489197815988,28,416,233.82142857142856,83.7536305775495,399718,9260127,0.8235294117647058,0.0006685330177909,0.0042767679853367,6547,3.8409938775510217,0.2416276330438502,4.172,3.339,3.7,3.405,1.1479300260030755e-06,2.127450768391815e-06,2.356791161282575e-05,0.0,702.8661224489791,2.840482127576576,710.5,696.3,705.15,701.05,0.3194444444444444,0.3472222222222222,0.3333333333333333,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1
P24_01,seg6,5.3509588006189055e-06,700.0,3.6345,0.000961848671434,3.3178461270728647e-06,703.7,4.167,4.401080756529572e-05,1.6665402439416497,698.8569395017794,218.80645161290323,299.56491523373205,3.804486654804274,1.7644187827019738e-06,1.2824414326692486,695.2,2.616,0.0,0.9351081530782028,3.980430866993671e-06,698.35,4.0025,1.0128516531040348,1.5638450351668982,113.96151963267796,220.3245918021085,0.1808105864756252,3.6172433257528376e-06,1.0257672161854574,14,400,192.8571428571429,95.616909626872,5562758,9326758,0.9333333333333332,0.0002889736949386,0.0051851851851851,2700,3.718772511848341,0.1374569730180306,3.9525,2.842,3.8745,3.699,1.610712541522948e-06,4.107070724678444e-06,4.401080756529572e-05,0.0,698.9303317535544,1.8615992571381776,703.7,696.05,700.2,700.9000000000001,0.3157894736842105,0.3421052631578947,0.3421052631578947,3,283,222.3333333333333,58.18361739642297,3064520,4513497,0.2307692307692307,7.138720537927744e-05,0.0044977511244377,667,3.722033333333334,0.2546912199392124,4.039,2.616,4.0025,3.784,2.1737032177914017e-06,3.734628570807135e-06,1.9363554488141685e-05,0.0,697.4875000000001,0.8551749251131974,699.8,695.2,698.35,697.1,0.0,0.0,0.0,3,283,222.3333333333333,58.18361739642297,3064520,4513497,0.2307692307692307,7.138720537927744e-05,0.0044977511244377,667,3.736062500000001,0.2526780607432159,4.039,2.616,4.0025,3.784,2.501730829148626e-06,4.506518582084555e-06,2.305613929750828e-05,0.0,697.5421875000002,0.9117495283140764,699.8,695.2,698.35,697.1,0.0,0.0,0.0,1
P24_01,seg7,5.054060131557697e-06,697.95,3.537,0.0009481426504934,3.5627339288478025e-06,702.2,4.053,3.839687781447015e-05,1.4615779827716897,698.4657665505229,228.7941176470588,274.1923100271628,3.6053972125435534,1.409374440150797e-06,1.3886485018337953,695.6,2.3245,0.0,0.9566666666666668,4.656362477860642e-06,700.2,3.6085,1.159483149231581,1.0808339911549325,109.00424773812918,182.92912263231835,0.2022307786802487,3.5865463562510816e-06,1.0487906885054283,25,516,231.92,118.82091566723427,749466,9476618,0.78125,0.0006075509211605,0.0043118316660917,5798,3.587979357798164,0.2116686622091841,4.053,2.3245,3.5445,3.5855,1.369007306454918e-06,3.695377344192756e-06,3.839687781447015e-05,0.0,698.357798165138,0.9837104122967264,701.2,695.6,700.0,696.1,0.3125,0.34375,0.34375,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1
P24_01,seg9,4.817119835307301e-06,729.9,3.8205,0.0008543648009096,3.131709214536012e-06,741.25,4.221,7.127416836795964e-05,1.5931108182930718,712.8056552962297,232.72413793103448,282.55427592265863,3.5850197486535,1.718767034419964e-06,1.2641439167763746,691.75,2.145,0.0,0.9283333333333332,3.685901418001444e-06,693.95,3.4985,0.8278195382171755,18.5167870407536,124.60936004505214,218.63357408966928,0.2714088717938781,5.372847924374901e-06,0.9355184899216884,24,683,249.91666666666663,127.18658551998276,3264363,2215103,0.8571428571428571,0.0006477238575443,0.0040013337779259,5998,3.564236458333332,0.2489790716191636,4.1,2.145,3.3835,3.4085,1.5171840011400325e-06,5.222188713105328e-06,7.127416836795964e-05,0.0,710.1932291666668,17.32931829102677,739.2,691.75,696.05,694.5999999999999,0.3333333333333333,0.3333333333333333,0.3333333333333333,24,683,249.91666666666663,127.18658551998271,666196,9709801,0.8571428571428571,0.0006477238575443,0.0040013337779259,5998,3.56560187110187,0.250515836609834,4.221,2.145,3.4985,3.8205,1.545397586150936e-06,5.252704641313083e-06,7.127416836795964e-05,0.0,710.2356548856551,17.336245509691956,739.2,691.75,693.95,729.9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1
P24_01,seg10,4.304154887563849e-06,721.6500000000001,3.704,0.0006118557030462,2.853929207407878e-06,732.95,4.082,8.435905133593517e-05,1.5684765660785558,726.6912408759129,296.0,222.96626332438515,3.739356751824816,1.4677174807255005e-06,1.394598694378107,720.1,2.084,0.0,0.9118136439267888,3.6739254890756046e-06,729.9,3.96,0.8963989068778421,2.406299986998772,195.08500711228427,203.9517033800552,0.1781995292396698,5.572576877466704e-06,0.7983959857431903,16,550,296.6875,140.23633326162897,0,9726479,0.6153846153846154,0.0005210616133678,0.0033705498209395,4747,3.7916410256410265,0.0991780090315994,4.082,3.5425,3.96,3.704,6.10043706867611e-07,7.691876777320473e-07,7.926023778071314e-06,0.0,725.7799679487182,2.041031908860981,731.95,720.1,729.9,721.6500000000001,0.3333333333333333,0.3611111111111111,0.3055555555555556,17,550,295.88235294117646,135.82382079045502,0,9726479,0.6538461538461539,0.0005521255351254,0.0033797216699801,5030,3.790076576576576,0.096543716255828,4.082,3.5425,3.96,3.704,5.985145206565592e-07,7.516736522120495e-07,7.926023778071314e-06,0.0,725.8654654654657,2.0072180388739223,731.95,720.1,729.9,721.6500000000001,0.3333333333333333,0.358974358974359,0.3076923076923077,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1
P24_01,seg11,5.528867759390587e-06,693.0999999999999,3.657,0.0013255974701707,3.549797986067753e-06,709.35,4.205,3.67757430201141e-05,1.6033254679161038,700.1018549747058,201.3428571428572,384.4121937118242,3.6879443507588543,1.3234708845535798e-06,1.7838087057651553,692.2,3.0745,0.0,0.9883333333333332,5.970322805469257e-06,696.9,3.6735,1.0938552033500923,3.127036622705743,104.42614695595746,245.0077315460672,0.1590421957840833,3.1196040325772656e-06,0.8984754919765343,24,616,227.7083333333333,110.97061074570762,349753,9876372,0.6857142857142857,0.0005542755998245,0.004391582799634,5465,3.668981481481484,0.1496764878583197,4.1205,3.0745,3.6735,3.657,1.001173157148756e-06,2.99777501096662e-06,3.67757430201141e-05,0.0,699.9212345679011,3.223220739790553,709.35,692.2,696.9,693.0999999999999,0.3103448275862069,0.3448275862068966,0.3448275862068966,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1
