Part_id,Sc_id,Answer,fixationrate,meanfixationduration,stddevfixationduration
P24_01,seg1,0,3.2104577313525856e-06,226.7872340425532,114.71570457860498
P24_01,seg2,1,3.4410252513668944e-06,201.87755102040816,100.58964340598996
P24_01,seg3,0,3.4989581502211903e-06,228.2,112.35167092297148
P24_01,seg4,0,3.803579100012056e-06,191.25,99.6222410362812
P24_01,seg5,0,3.178717006241941e-06,247.24444444444444,180.8912475338247
P24_01,seg6,1,3.68314859447575e-06,213.3962264150944,78.44433097687359
P24_01,seg7,1,3.3662127592104045e-06,237.26530612244892,130.47393984850706
P24_01,seg8,1,3.171003680570185e-06,243.41304347826087,138.1052056444179
P24_01,seg9,1,3.300584280665395e-06,258.3617021276596,162.7286919908096
P24_01,seg10,1,3.0683726167548905e-06,282.0,184.9117954404836
P24_01,seg11,1,2.9737963930823542e-06,260.6190476190476,194.7350861418676
P24_01,seg12,1,3.241724546718818e-06,243.7391304347826,192.1401611998224
P24_01,seg13,1,3.511240639998045e-06,218.28,112.41904842587658
P24_01,seg14,1,3.1314573543841698e-06,252.0652173913044,256.711286353099
P24_01,seg15,1,3.042679461967724e-06,263.1777777777778,322.9451324696791
P24_01,seg16,1,3.5763895838203584e-06,212.7692307692308,111.46134745223236
P24_01,seg17,1,3.5560258019761384e-06,203.1346153846154,106.13587829114849
P24_01,seg18,1,3.247393931822968e-06,243.46808510638297,120.14083240709984
P24_02,seg1,0,4.319590986568664e-06,177.43333333333334,74.56526356872511
P24_02,seg2,0,4.241722607430767e-06,177.86206896551724,75.45219196840651
P24_02,seg3,0,3.841581160658339e-06,211.03703703703704,89.77329160387758
P24_02,seg4,0,3.998076354119904e-06,189.78571428571428,94.57593664462328
P24_02,seg5,1,4.152970077498645e-06,193.22033898305085,115.94069051512712
P24_02,seg6,1,4.3404033681530135e-06,175.26666666666668,71.39597545194312
P24_02,seg7,1,4.060822418060218e-06,198.7142857142857,101.88651695716337
P24_02,seg8,0,4.1838645520094e-06,192.2982456140351,104.16452729632655
P24_02,seg9,0,3.943311841787781e-06,192.377358490566,81.18028995700637
P24_02,seg10,0,3.7667856443580295e-06,203.28,106.05370991980952
P24_02,seg11,1,4.1664955427425895e-06,191.57142857142856,87.87426081786245
P24_02,seg12,0,4.221169792406509e-06,189.6034482758621,78.23871246545194
P24_02,seg13,1,4.125600974820573e-06,182.42857142857144,80.61916242835413
P24_02,seg14,1,3.983150388711221e-06,189.44444444444449,80.73942869448575
P24_02,seg15,0,4.074305613235175e-06,188.0,96.40020746865642
P24_02,seg16,0,3.933540385993123e-06,191.71698113207543,98.10402198265224
P24_02,seg17,1,4.125596415740771e-06,187.7678571428572,82.17542014084671
P24_02,seg18,0,3.662865019761157e-06,213.23529411764707,109.345066324054
P24_03,seg1,1,2.249030974336103e-06,405.8181818181818,374.3271843041738
P24_03,seg2,0,2.0928162566502843e-06,417.6206896551725,408.517040542733
P24_03,seg4,0,3.403761932993679e-06,244.88,196.86467329573568
P24_03,seg5,1,1.847460711438645e-06,67.0,0.0
P24_03,seg6,0,5.266919584145097e-06,171.7,61.29536868493592
P24_03,seg7,1,3.1056618631279604e-06,233.25925925925927,231.96693938719147
P24_03,seg8,1,2.6902992334236905e-06,241.5,204.34185875168905
P24_03,seg9,1,3.236492276278588e-06,235.48275862068965,102.38464613186297
P24_03,seg10,1,3.3411463748365297e-06,236.64705882352945,119.98001913271789
P24_03,seg11,1,1.7746431007865662e-06,369.25,302.3577426583525
P24_03,seg12,0,3.435264091154584e-06,226.67391304347825,165.6955782079931
P24_03,seg13,1,3.7957805643152457e-06,209.5151515151515,112.02597946796796
P24_03,seg14,1,2.5880245375782457e-06,322.03333333333336,237.6615216028348
P24_03,seg15,1,4.148380133975212e-06,179.89473684210526,64.98794310130158
P24_03,seg16,1,4.189001775837539e-06,196.78571428571428,91.34537400392192
P24_03,seg17,0,3.1795801741493034e-06,278.13953488372096,169.6184206914855
P24_03,seg18,1,3.2594356372968644e-06,252.52631578947367,251.95576516987896
P24_04,seg1,1,1.6046921197581728e-06,571.8333333333334,1006.8247404444402
P24_04,seg2,1,2.868686413147284e-06,292.48837209302326,217.90805969633195
P24_04,seg3,1,3.354709450668381e-06,246.79591836734693,106.88583855213562
P24_04,seg4,0,3.301979354677328e-06,246.87755102040816,108.60279935255296
P24_04,seg5,0,2.9650602688932294e-06,308.15909090909093,196.60749981931207
P24_04,seg6,1,2.897972442636673e-06,285.78125,211.09907998989632
P24_04,seg7,1,3.289991533206789e-06,255.25,164.04201306763474
P24_04,seg8,1,2.7926697347702986e-06,302.2352941176471,180.9237339445997
P24_04,seg9,0,3.466626028565276e-06,229.28,88.7235970115429
P24_04,seg10,0,3.458637941341224e-06,232.6,88.24681297361396
P24_04,seg11,1,2.4171558506677246e-06,356.52,353.5558796003823
