Part_id,Sc_id,Answer,enddistance,maxdistance,meandistance,mindistance,startdistance,stddevdistance
P24_01,seg1,0,704.95,712.4000000000001,703.0429703652649,695.8,700.3,2.9368078257400705
P24_01,seg2,1,702.5999999999999,718.0999999999999,703.9275742916373,697.4000000000001,705.5,3.3436718771798137
P24_01,seg3,0,697.05,715.6,702.2887972508598,696.0,711.25,2.948858263563954
P24_01,seg4,0,709.0999999999999,724.6,709.9476238968091,701.2,717.25,4.570672154365186
P24_01,seg5,0,699.8,714.45,705.6962465564743,697.95,707.05,2.682538816665501
P24_01,seg6,1,698.3,710.5,703.573993055555,695.8,706.65,2.5469801901275986
P24_01,seg7,1,697.3,710.5,701.1762851267994,693.85,704.2,3.0147578784080418
P24_01,seg8,1,701.4000000000001,710.5,700.2201929703649,693.85,704.0999999999999,2.8834567791488595
P24_01,seg9,1,696.5,703.7,698.0045486600834,690.3,698.35,1.891646413749784
P24_01,seg10,1,697.25,703.7,697.4016537649538,690.3,697.9,2.0080925385592088
P24_01,seg11,1,729.9,741.25,702.4298806179767,690.3,696.0,14.286856543986028
P24_01,seg12,1,719.8,741.25,725.2974358974354,713.7,732.7,5.943551530348813
P24_01,seg13,1,694.2,711.5,700.2862164024812,692.2,707.65,3.575876967725544
P24_01,seg14,1,695.3,705.45,697.6788275862068,691.1,700.7,2.3050998171316444
P24_01,seg15,1,690.7,709.35,696.4968328840973,687.35,695.9000000000001,4.308502399856815
P24_01,seg16,1,719.5999999999999,737.9,715.6106241234204,690.7,703.75,9.134307857262597
P24_01,seg17,1,712.5,737.9,719.206837016574,707.65,711.7,6.118062538780422
P24_01,seg18,1,704.95,729.5999999999999,711.4236824093082,698.6,728.95,7.064082679428851
P24_02,seg1,0,598.2,598.65,570.6955871626556,558.85,567.8499999999999,12.162074916685718
P24_02,seg2,0,606.5,608.5999999999999,579.4877713458752,558.85,560.75,17.176496966336664
P24_02,seg3,0,600.0,608.35,601.9222818311881,595.5999999999999,607.45,2.163591062465906
P24_02,seg4,0,605.45,612.6,605.6288967971527,598.9000000000001,605.0,2.379862961117837
P24_02,seg5,1,603.85,612.55,604.3207152974516,598.65,606.95,2.472056672867617
P24_02,seg6,1,606.0,612.7,604.4254121863795,598.65,600.7,2.6062867705353288
P24_02,seg7,1,605.85,614.65,607.4057608695663,600.0,603.2,2.5703272338863985
P24_02,seg8,0,605.5999999999999,614.65,607.6892000000003,600.0,603.2,2.249251390908784
P24_02,seg9,0,614.45,618.3,608.8058277654043,601.7,609.05,2.609963728241292
P24_02,seg10,0,611.3,618.3,609.5979431563194,601.7,606.9000000000001,2.7765891823934523
P24_02,seg11,1,612.25,622.3,611.7914424514191,606.05,614.15,2.3150275737486834
P24_02,seg12,0,613.8499999999999,621.7,611.8536409516948,605.8499999999999,615.75,2.266523281878483
P24_02,seg13,1,621.15,629.65,622.5053874538744,615.75,620.0,2.5651907527359885
P24_02,seg14,1,623.8,629.65,622.7812776957156,615.75,621.75,2.0644328860154526
P24_02,seg15,0,623.4,632.1,626.0794096209902,619.0,621.0,2.5795372200697235
P24_02,seg16,0,636.5,641.7,633.7918241279076,622.6,628.0,3.0653851036654127
