Part_id,Sc_id,Answer,endpupilsize,maxpupilsize,maxpupilvelocity,meanpupilsize,meanpupilvelocity,minpupilsize,minpupilvelocity,startpupilsize,stddevpupilsize,stddevpupilvelocity
P24_01,seg1,1,3.857,3.9745,9.666766736715702e-06,3.631472222222224,1.017720081102905e-06,3.4555,0.0,3.719,0.0907277177997828,1.5491241522087691e-06
P24_01,seg2,1,3.9485,4.0935,6.6946862803963e-06,3.938500000000001,6.274411709749456e-07,3.7935,0.0,4.0885,0.0631033115847409,8.897771945670179e-07
P24_01,seg3,1,4.122,4.2135,8.03410592049958e-05,3.869560931899642,1.998384262879906e-06,2.281,0.0,3.874,0.2661008048846893,7.089680101013472e-06
P24_01,seg4,0,3.45,4.041,1.780246172320627e-05,3.499245,1.6674750106991744e-06,3.265,0.0,3.49,0.1069016480204974,2.382689441586888e-06
P24_01,seg5,1,3.579,4.162,2.356791161282575e-05,3.622287931034483,1.433413516085002e-06,3.237,0.0,4.03,0.2045678389163067,2.5546449526346107e-06
P24_01,seg6,1,3.6345,3.9525,1.987391173821672e-05,3.669378048780489,1.4947622922486102e-06,3.2705,0.0,3.767,0.079508403729757,3.138496000829497e-06
P24_01,seg7,1,3.537,4.053,3.839687781447015e-05,3.606911894273125,1.43167179100688e-06,2.3245,0.0,3.7325,0.2233456916077836,3.901265291675357e-06
P24_01,seg9,1,3.8205,4.221,7.127416836795964e-05,3.6488151447661497,1.7586852673649687e-06,2.379,0.0,3.3165,0.25123039039065,5.115872279534793e-06
P24_01,seg10,1,3.704,4.082,7.385613065930107e-05,3.712539260969976,1.4100196123010582e-06,2.084,0.0,3.84,0.1685430544000245,4.641211937853888e-06
P24_01,seg11,1,3.657,4.0755,2.1314920444311017e-05,3.603522284122565,1.1631116912008231e-06,3.204,0.0,3.738,0.1182714284472246,2.2618100223589885e-06
P24_01,seg12,1,3.5885,4.035,1.6452503902966257e-05,3.6321924265842367,1.0389825993349886e-06,3.289,0.0,3.72,0.1009389417322891,1.997986224077244e-06
P24_01,seg13,1,3.605,4.0925,1.1708195737015875e-05,3.768384831460676,9.525329823685884e-07,3.404,0.0,3.664,0.1728185100128748,1.4752378106027535e-06
P24_01,seg15,1,3.503,3.545,3.353347343140201e-05,3.3343523489932867,1.2028782811308704e-06,2.792,0.0,3.473,0.0936323313781737,3.4811462231804715e-06
P24_02,seg1,1,3.4445,4.032500000000001,1.5281614026660272e-05,3.74726724137931,8.527383018525067e-07,3.44,0.0,3.558,0.1702025964372004,1.5631200023722674e-06
P24_02,seg2,1,3.5385,4.141,9.546682677874529e-06,3.529926966292134,6.887904241156979e-07,2.9475,0.0,4.087,0.2476485806434177,1.0439220439131992e-06
P24_02,seg3,1,3.86,3.9695,2.3656559591714185e-05,3.71895036764706,9.733948595933309e-07,2.98,0.0,3.795,0.1502920291366264,2.5117185121542483e-06
P24_02,seg4,0,3.5275,3.8235,3.152206544581206e-05,3.5548444055944057,8.794246743123034e-07,2.087,0.0,3.579,0.1642831031668706,2.629289209393492e-06
P24_02,seg5,1,2.6975,3.665,5.448487031700287e-05,3.3997690909090914,1.4951657887928257e-06,1.759,0.0,3.282,0.2016845081543511,4.88298613802215e-06
P24_02,seg6,0,3.427,3.606,1.831171950048032e-05,3.454758278145696,1.0419574034082393e-06,3.042,0.0,3.3440000000000003,0.0911147235504894,2.0837405764017247e-06
P24_02,seg7,1,3.277,3.9215,7.510806916426512e-05,3.590615555555553,1.420885801512367e-06,1.35,0.0,3.5405,0.2022717250623846,5.306524745316304e-06
P24_02,seg9,1,3.3775,4.256,3.254277994596216e-05,3.7310142180094754,9.381769069597062e-07,2.818,0.0,3.489,0.2038260221446375,2.510173013261998e-06
P24_02,seg10,1,4.0145,4.0145,7.084959471630142e-05,3.675022421524661,1.259108822322596e-06,2.049,0.0,3.343,0.1982345040533284,4.48649531100764e-06
P24_02,seg11,1,3.5625,3.8735,4.617232062443711e-05,3.601701807228916,1.3585555195765253e-06,1.91,0.0,3.466,0.2058898451480612,3.731356697481232e-06
P24_02,seg12,1,3.4915000000000003,3.8345,7.348703170028817e-05,3.445813122923592,1.3731528528777933e-06,1.407,0.0,3.707,0.2172062007734986,4.6553814931755984e-06
P24_02,seg13,0,3.548,4.129,3.572500750525369e-05,3.789205621301778,1.3681753939602189e-06,2.8825000000000003,0.0,3.6135,0.17963152987761,3.516145333107839e-06
P24_02,seg15,1,3.333,3.47,8.184220007205474e-05,3.220196428571429,1.1800860638651869e-06,1.836,0.0,3.1695,0.180139578463853,5.455124901032028e-06
P24_03,seg1,1,3.7295,4.085,5.253362151777132e-06,3.842812138728324,6.299133192603584e-07,3.516,0.0,3.831,0.15560062071132,7.366285804194825e-07
P24_03,seg2,1,6.179,6.179,1.12885793202834e-05,5.29272,1.1629733855990292e-06,4.801,0.0,5.061,0.3705838602799642,2.847467976701842e-06
P24_03,seg4,1,3.772,5.074,8.045631942359619e-06,4.218768333333332,9.464709008226548e-07,3.65,0.0,4.5455000000000005,0.2695968695493173,1.1882929232931005e-06
P24_03,seg5,1,3.964,4.784,1.155809066346442e-05,3.75659142857143,1.3265241546066036e-06,3.269,0.0,4.784,0.3199410958460415,1.871951846329014e-06
P24_03,seg6,1,4.115,4.2565,9.259036868019696e-05,3.985915999999999,1.82148754058674e-06,1.704,0.0,3.9495,0.2680548491657823,8.536017437276513e-06
P24_03,seg7,1,4.395,5.172,3.944761332933053e-05,4.393710982658961,1.9747907432335004e-06,3.6385,0.0,4.193,0.2884839562929832,4.921369472321187e-06
P24_03,seg9,1,3.101,5.022,5.223656559591717e-05,3.836176470588237,3.812850080716485e-06,2.434,0.0,4.2165,0.7131106082794476,9.354397577631108e-06
P24_03,seg10,0,3.786,4.62,3.4826468115767986e-05,4.032191044776118,1.295000573318599e-06,2.742,0.0,3.03,0.4241827569536618,2.5042528680435502e-06
P24_03,seg11,1,3.3045,4.508,1.1888321825277663e-05,3.685267857142857,2.24886380133156e-06,3.249,0.0,4.008,0.3739798847809588,2.581076552628336e-06
P24_03,seg12,0,4.029,4.933,1.524975984630166e-05,4.001476489028215,1.391103416776018e-06,3.457,0.0,4.707,0.3574196486807994,1.7130638325047474e-06
P24_03,seg13,1,3.751,4.905,1.2969078354848406e-05,3.6436496815286623,1.433959077812892e-06,1.932,0.0,3.3155,0.4228680026250847,1.8189615729680803e-06
P24_03,seg15,1,4.112,4.2645,1.3089948360754173e-05,3.83348903508772,8.834981508861083e-07,3.405,0.0,4.031,0.2304798740588891,1.2404609220523743e-06
P24_04,seg1,0,3.4855,4.1845,6.304791641647651e-06,3.876542134831461,7.954763427170512e-07,3.4855,0.0,4.177,0.1682751888279367,8.444749301214756e-07
P24_04,seg2,0,4.2035,4.2035,3.1221855298709124e-06,3.940055555555557,5.106924598962387e-07,3.745,0.0,4.147,0.1166100181703032,4.585635518269433e-07
P24_04,seg3,0,4.361000000000001,4.361000000000001,2.233563494446112e-05,4.234833333333333,6.769815434987579e-07,3.8545,0.0,4.321,0.0776431500609908,1.6351255819165222e-06
P24_04,seg4,0,3.8015,4.009,1.0027620991953874e-05,3.7959414715719055,7.107358551264846e-07,3.4245,0.0,3.426,0.1231391928862328,1.1544257580324106e-06
P24_04,seg5,1,4.077,4.396,5.163924582682804e-06,4.1319842519685,6.846743858976939e-07,3.8165,0.0,4.231,0.1740093693471259,7.655612795838851e-07
P24_04,seg6,1,3.9125,3.949,3.602521765235668e-06,3.8776685082872944,5.121841223738618e-07,3.782,0.0,3.944,0.0318044031278372,5.90696566972657e-07
P24_04,seg7,1,4.223000000000001,4.508,5.703650336215216e-06,4.104799352750809,7.31649052577668e-07,3.5015,0.0,4.067,0.2461162786102988,8.038181814812082e-07
P24_04,seg9,1,4.3085,4.41,4.385806916426509e-05,4.163819238900637,5.717303365064032e-07,2.613,0.0,3.8465,0.1437612950236506,2.0595263382606845e-06
P24_04,seg10,1,3.995,4.417999999999999,5.3434197886647165e-06,4.07174791666667,5.376250813009105e-07,3.77,0.0,4.2415,0.14301262406806,5.606092692633149e-07
P24_04,seg12,0,4.2885,4.5785,1.1137796457520224e-05,4.074878594249204,8.987952766833682e-07,3.6705,0.0,4.236,0.2001987585019194,1.3004125495142104e-06
