Part_id,Sc_id,Answer,endpupilsize,maxpupilsize,maxpupilvelocity,meanpupilsize,meanpupilvelocity,minpupilsize,minpupilvelocity,startpupilsize,stddevpupilsize,stddevpupilvelocity
P24_01,seg1,0,4.114,4.2495,3.404178674351586e-05,3.8898818056512807,1.2699205198168048e-06,2.375,0.0,3.6785,0.1767289391045315,2.774716545417237e-06
P24_01,seg2,1,3.603,4.584,9.235018614146752e-05,3.845733932273673,1.4398252022288563e-06,2.237,0.0,3.985,0.1849669554128314,3.912323008182898e-06
P24_01,seg3,0,4.065,4.478,8.03410592049958e-05,3.869864261168385,1.5391399593554095e-06,2.281,0.0,3.8575,0.1787207184807966,4.516642529121269e-06
P24_01,seg4,0,3.4065000000000003,4.0805,2.5637946562593845e-05,3.5612348947725727,1.3032784714305403e-06,2.527,0.0,3.912,0.1536242918546152,2.328876871241427e-06
P24_01,seg5,0,4.0085,4.329,4.256979885920144e-05,3.6495778236914576,1.2366215473156831e-06,2.596,0.0,3.77,0.208149967152494,2.3604019908421685e-06
P24_01,seg6,1,3.447,4.329,4.256979885920144e-05,3.793912152777776,1.0871433062616867e-06,2.596,0.0,3.45,0.2172667363007921,2.224131116576384e-06
P24_01,seg7,1,3.603,4.3575,2.407685379765837e-05,3.753721041809461,1.2515145441547375e-06,2.616,0.0,4.149,0.2844965163371379,2.287036533210624e-06
P24_01,seg8,1,3.696,4.3575,4.401080756529572e-05,3.715622329427983,1.43776320341825e-06,2.616,0.0,3.975,0.2691034406122091,2.9257122636825526e-06
P24_01,seg9,1,3.3035,4.167,6.952867006904833e-05,3.658104724964738,1.5830328186194229e-06,2.1235,0.0,4.0025,0.2326049359846427,4.060146651924202e-06
P24_01,seg10,1,3.56,4.053,6.952867006904833e-05,3.566865939479244,1.4091871582177891e-06,2.1235,0.0,3.9895,0.2112447611009207,3.965715485067222e-06
P24_01,seg11,1,3.8205,4.221,7.127416836795964e-05,3.528041432584268,1.4397804310574466e-06,2.1235,0.0,2.622,0.2251118759192545,4.520104483908509e-06
P24_01,seg12,1,3.357,4.221,8.435905133593517e-05,3.644343381843384,1.3351044712982142e-06,2.084,0.0,3.687,0.2382148030133424,4.392704723101385e-06
P24_01,seg13,1,3.62,4.035,4.220954668267787e-05,3.5496495520330846,1.0420257055796218e-06,2.79,0.0,3.6545,0.1457552200454202,2.28554696043376e-06
P24_01,seg14,1,3.796,4.044,0.0001247072951065,3.58659379310345,1.3205522853455652e-06,1.555,0.0,3.544,0.1830569500439067,4.439972494189465e-06
P24_01,seg15,1,3.605,4.205,0.0001247072951065,3.717121293800546,1.2528910881963784e-06,1.555,0.0,3.3935000000000004,0.1757259649146629,4.494178237353339e-06
P24_01,seg16,1,3.5780000000000003,3.9655,9.870909636745723e-05,3.505709326788216,1.956151888839017e-06,1.713,0.0,3.4425,0.1852187265852519,5.713248585210956e-06
